language,perturbation,f1,em,chrf,bleu,num_comparison
italian,alteration,0.407810386140727,0.23881821912187115,48.69415048656279,33.72582705931191,2437
italian,expansion_impact,0.4659404185013052,0.2845238095238095,52.94310328000325,38.832070723585886,1680
italian,omission,0.452091146682937,0.27937551355792933,52.65946860508622,37.98401618503828,2434
french,alteration,0.4086580894389157,0.2325487012987013,48.555545020515936,33.83542021986768,2464
french,expansion_impact,0.4628433304283261,0.2575818843509907,54.86597818823647,38.18122278573118,2473
french,omission,0.45159863630363684,0.264476386036961,53.47531210323249,38.01562369382599,2435
spanish,alteration,0.41183540752176434,0.24073319755600814,48.90447395561679,34.58329817287447,2455
spanish,expansion_impact,0.4582037567957852,0.2671538773853025,54.06697844202852,38.521342417444366,2463
spanish,omission,0.5017027267890757,0.294908350305499,57.91308390759152,41.926694815556644,2455
