Language,Severity,F1,EM,CHRF,BLEU,SBERT,NLI
en-de,Major+Critical,0.6577234437694663,0.442645875251509,74.47129368274868,58.041390107104796,0.8428348235232602,0.8899112511376297
en-de,Minor,0.667670302545263,0.4542328042328042,73.86216501190499,58.21127065448689,0.8265889523499486,0.8718337989181675
en-de,Neutral,0.7855500055500055,0.6333333333333333,83.35195322967766,71.96561103219608,0.8657713609380704,0.8818126318126318
en-de,no error,0.6882805343324905,0.5368086147821831,74.72559976097347,63.547364245407046,0.8355412646675371,0.8774908976820857
en-es,Major+Critical,0.7501974746037875,0.4832779623477298,79.72197952275181,66.12178334677638,0.8758563431067642,0.9180916319912632
en-es,Minor,0.7554469577718762,0.5264101949504635,80.47476243586189,67.62856201307102,0.8697797999669673,0.90473732728979
en-es,Neutral,0.7427196557971014,0.6087797619047619,80.1971378484516,68.49512183655442,0.8581163281718979,0.940952380952381
en-es,no error,0.7607749277740793,0.5593137254901961,82.3236474215986,69.43011046703361,0.8865962491215518,0.9237103174603175
en-fr,Major+Critical,0.7236451793683437,0.49552238805970156,77.31791171720492,63.5588839154061,0.8413730163896336,0.8443654024251039
en-fr,Minor,0.6908183142641827,0.45954081632653065,74.11230880210805,60.07410200716752,0.8512459191110707,0.9211810878197432
en-fr,Neutral,0.5444444444444445,0.0,55.56842417885082,26.933229152953324,0.809553936123848,1.0
en-fr,no error,0.7393304128602719,0.58713298791019,79.7016016520178,67.19869265939413,0.8744018862403556,0.9218664244506213
en-ru,Major+Critical,0.638730512070094,0.4033681765389082,71.01798326743285,56.02945122660535,0.7751813355409275,0.7808340710779735
en-ru,Minor,0.7842476571477798,0.5010752688172043,79.68918383435836,67.08402249900438,0.8936561743429821,0.9336501536098311
en-ru,Neutral,0.7404331838817513,0.3453551912568306,76.32087528585639,56.75950396819521,0.879953360154492,0.9510053243659801
en-ru,no error,0.7510847348609829,0.45451154710811364,77.62697896803866,62.51003244141502,0.8787775835593915,0.9420189718578337
en-zh-CN,Major+Critical,0.5917406532772322,0.3059314954051796,67.5650743669039,47.98959471820604,0.7927776037748443,0.8199572004144147
en-zh-CN,Minor,0.6456154814210744,0.3071646341463415,70.45227985359054,51.93768883301193,0.8085581881755168,0.8463334119162531
en-zh-CN,Neutral,0.6259153346653347,0.41051587301587306,76.36506593093246,53.64380666350925,0.8445496758239136,0.9031288156288156
en-zh-CN,no error,0.6730338290262949,0.4437211449676824,74.92837060684845,58.72198314281702,0.8591495668083869,0.901136096476274
